vacancy_id,section_id,section_title,section_body
36535379,2,приветствоваться,опыт работа настройка алерт
36535379,2,приветствоваться,опыт работа система бэкапирование baculabareos
36535379,2,приветствоваться,опыт работа vpn
36535379,2,приветствоваться,опыт администрирование сервер отправка почта eximpostfix
36535379,2,приветствоваться,опыт администрирование внтурить сервис sentry redmine gitlab elk
36535379,2,приветствоваться,опыт отражение DDOS атака
36535379,2,приветствоваться,опыт настройка эксплуатирование WAF
36535379,3,большой плюс работать технология перечислить,mongodb
36535379,3,большой плюс работать технология перечислить,cassandra
36535379,3,большой плюс работать технология перечислить,kafka
36535379,3,большой плюс работать технология перечислить,clickhouse
36535379,3,большой плюс работать технология перечислить,rabbitmq
36535379,3,большой плюс работать технология перечислить,elasticsearch
36535379,3,большой плюс работать технология перечислить,minio
36535379,3,большой плюс работать технология перечислить,ceph
36535379,3,большой плюс работать технология перечислить,оркестрация kubernetesnomad
36535379,3,большой плюс работать технология перечислить,istio
36535379,4,предлагать,тк рф белый прозрачный
36535379,4,предлагать,расширить дмс стоматология
36535379,4,предлагать,комфортный офис рядом маротра дмитровский
36535379,4,предлагать,возможность бесплатно посещать фитнес клуб бассейн 2 минута ходьба работа
36535379,4,предлагать,завтрак кофе фрукт офис игровой комната playstation кикер
36535379,4,предлагать,команда поддерживать развитие каждый ставить индивидуальный цель отправлять технический конференция
36535379,4,предлагать,возможность карьерный рост желание
37838639,0,,наш команда заниматься эксплуатация развитие запуск крупный федеральный система различный
37838639,0,,рамка команда зависимость проект цель мочь окунуться OpenStack Ceph+ Nuage
37838639,0,,исчислять инфраструктура десяток цод тысяча сервер десяток тысяча ванотрание десяток
37838639,0,,связь увеличение количество система поддержка рост проектный активность поиск коллега
37838639,1,работа регулярно встречать взаимодействовать следующий,Platform vanilla OpenStack RDO Tionix
37838639,1,работа регулярно встречать взаимодействовать следующий,os CentOS Red Hat Ubuntu
37838639,1,работа регулярно встречать взаимодействовать следующий,Kernel kvm Cgroup namespaces netfilter sysctl scheduling
37838639,1,работа регулярно встречать взаимодействовать следующий,CI CD Ansible SaltStack Jenkins Gitlab Docker packer Cobbler
37838639,1,работа регулярно встречать взаимодействовать следующий,Storage Ceph Multipath SAN SDS Clustered FS
37838639,1,работа регулярно встречать взаимодействовать следующий,Networking routing iptables bonding tcpdump OVS DVR Nuage SDN
37838639,1,работа регулярно встречать взаимодействовать следующий,Infra DNS NTP DHCP FreeIPA
37838639,1,работа регулярно встречать взаимодействовать следующий,e.t.c
37838639,2,задача входить,поддержка существовать инсталляция OpenStack развитие разработка новый сервис
37838639,2,задача входить,разработка механизм средства автоматизация жизненный цикл платформа гипервизор ванотрание сопровождать
37838639,2,задача входить,CI CD процесс эксплуатация платформа
37838639,2,задача входить,поддержка ключевой инфраструктурный сервис DNS NTP DHCP т.д.
37838639,2,задача входить,поддержка вспомогательный инфраструктурный сервис SaltStack IPA GitLab т.д.
37838639,2,задача входить,документирование свой работа поддерживать инфраструктура
37838639,3,успешный работа необходимый,уверенный мат часть Linux Network Storage Virtualization Containers orchestration engine
37838639,3,успешный работа необходимый,владение инструмент автоматизация управление инф рой Ansible SaltStack
37838639,3,успешный работа необходимый,опыт использование Jenkins Gitlab Gitlab runners
37838639,3,успешный работа необходимый,опыт построение кластерный система Corosync Pacemaker keepalived т.д.
37838639,3,успешный работа необходимый,опыт написание скрипт приложение Python Bash
37838639,3,успешный работа необходимый,понимание концепция SDN
37838639,4,предлагать,официальный трудоустройство тк рф
37838639,4,предлагать,стабильный достойный заработный плата
37838639,4,предлагать,график работа 5 2 пн пт гибкий начало день
37838639,4,предлагать,возможность удаленный работа
37838639,4,предлагать,ежеквартальный премия
37838639,4,предлагать,социальный пакет дмс оплата мобильный связь
37838639,4,предлагать,обучение внутри компания внешний курс
39793379,0,,заниматься полный цикл разработка IoT M2M устройство искать команда инженер
39793379,1,задача который предстоять решать,разработка микросервис
39793379,1,задача который предстоять решать,поддержка миграция бд
39793379,1,задача который предстоять решать,развитие продукт добавление новый фич
39793379,1,задача который предстоять решать,написание функциональный интеграционный тест
39793379,1,задача который предстоять решать,доработка рефакторинг существовать код Go Python Flutter
39793379,1,задача который предстоять решать,модификация усовершенствование поддержка инструмент мониторинг управление развернутый инфраструктура
39793379,1,задача который предстоять решать,участие проектирование архитектура
39793379,2,наш идеальный кандидат,знакомый язык программирование Go готовый изучать
39793379,2,наш идеальный кандидат,закончить высший технический образование
39793379,2,наш идеальный кандидат,знакомый принцип микросервисный архитектура иметь опыт разработка backend сервис
39793379,2,наш идеальный кандидат,навык проектирование реализация REST gRPC API
39793379,2,наш идеальный кандидат,иметь опыт работа субд MySQL Postgres
39793379,2,наш идеальный кандидат,работать Docker познать азы DevOps
39793379,2,наш идеальный кандидат,понимать суть принцип ооп шаблон проектирование
39793379,2,наш идеальный кандидат,понимать технический английский
39793379,2,наш идеальный кандидат,писать модульный интеграционный системный автотест
39793379,2,наш идеальный кандидат,обладать базовый представление протокол семейство TCP IP понимать принцип сетевой
39793379,2,наш идеальный кандидат,уверенно владеть скриптовый язык программирование цель автоматизация
39793379,3,наш пожелание,опыт добавление метрик мониторинг здоровье приложение
39793379,3,наш пожелание,опыт работа Git
39793379,3,наш пожелание,знание язык программирование например Node.js C# Python Rust Ruby
39793379,3,наш пожелание,опыт работа высоконагруженный система
39793379,3,наш пожелание,понимание принцип непрерывный поставка
39793379,3,наш пожелание,опыт разворачивание приложение кластер Kubernetes helm yaml
39793379,3,наш пожелание,уверенный работа Linux
39793379,4,предлагать,график работа 5 2 полный день работа офис
39793379,4,предлагать,опоздание мочь выбрать удобный время начало рабочий день
39793379,4,предлагать,свобода выбор стиль одежда
39793379,4,предлагать,достойный заработный плата обсуждать собеседование
39793379,4,предлагать,полный соблюдение трудовой законодательство
39793379,4,предлагать,офис рядом маротра славянский бульвар 7 минута пешком
39869759,0,требование,аналитический склад ум
39869759,0,требование,умение работать большой массив разнородный данные
39869759,0,требование,хороший знание SQL понимание python
39869759,0,требование,желание разбираться строительный сфера
39869759,1,обязанность,мониторинг анализ качество данные хранилище DWH
39869759,1,обязанность,развитие база знание самый система мониторинг качество данные
39869759,1,обязанность,анализ проблема неконсистентность данные постановка задача разработчик исправление
39869759,1,обязанность,взаимодействие бизнес заказчик возникать вопрос качество данные DWH
39869759,2,условие работа,конкурентный уровень заработный плата премия итог работа соответствие утвердить внутренний
39869759,2,условие работа,расширить программа дмс
39869759,2,условие работа,компенсация абонемент фитнес клуб 70 стоимость
39869759,2,условие работа,компенсация обучение английский язык 50 стоимость
39869759,2,условие работа,профессиональный обучение
39869759,2,условие работа,специальный условие кредит ипотека банк дом.рф сотрудник
39869759,2,условие работа,корпоративный скидка партнер группа дом.рф
39869759,2,условие работа,активный социальный жизнь спортивный интеллектуальный мероприятие благотворительность
39869759,2,условие работа,сократить рабочий день пятница
38901734,0,обязанность,построение модель визуализация информация формулирование вывод объяснение причина
38901734,0,обязанность,разработка автоматизация сопровождение отчетность
38901734,0,обязанность,сбор анализ статистический данные
38901734,0,обязанность,участие разработка новый проект оптимизация текущий постановка задача IT подразделениям
38901734,1,требование,высший технический математический образование
38901734,1,требование,знание SQL
38901734,1,требование,отличный знание MS Excel
38901734,1,требование,английский язык технический чтение
38901734,1,требование,аналитический склад ум структурированность ответственность
38901734,2,желательный,опыт работа отчетность знание SAP BO Tableau Python
38901734,2,желательный,опыт работа большой массив данные
38901734,2,желательный,знание принцип технология работа мпс MasterCard VISA мир
38901734,3,условие,работа комфортный офис метро водный стадион уютный офис панорамный вид
38901734,3,условие,профессиональный развитие постоянно проводить митап тренинг мастер класс твой распоряжение
38901734,3,условие,бесплатный вкусный обед уютный Tinkoff сafe захотеть перекусить каждый этаж
38901734,3,условие,забота здоровье оформить полис дмс стоматология страховка несчастный случай твой
38901734,3,условие,занятие бесплатный фитнес зал Tinkoff Sport пользоваться тренажер посещать групповой
38901734,3,условие,достойный твой профессиональный уровень зарплата
39912180,0,,Wargaming искать опытный ориентировать результат Technical Artist успешный кандидат присоединиться
39912180,1,делать,участвовать разработка новый технология число прототипирование
39912180,1,делать,разрабатывать новый процесс производство контент
39912180,1,делать,помогать артский подразделение сопровождать работа
39912180,1,делать,находить решать проблема технический художественный характер
39912180,2,важный,технический образование опыт работа схожий область
39912180,2,важный,хороший художественный вкус рисунок 3D арт
39912180,2,важный,знание Maya Max Substance Designer Painter Хоэдini аналог
39912180,2,важный,общий понимание устройство графический подсистема современный игровой движок понимание принцип
39912180,2,важный,знание хотя следующий язык программирование HLSL GLSL Python C C++
39912180,2,важный,понимание принцип работа графический алгоритм AO SSR BRDF подобный
39912180,2,важный,умение готовность учиться
39912180,2,важный,умение работать команда хороший навык устный коммуникация
39912180,3,полезный,опыт написание собственный игровой движка
39912180,3,полезный,арт портфолио
39912180,3,полезный,английский язык уровень Intermediate высокий
38268227,0,,Align Technology Inc это самый быстрорастущий научно медицинский компания кремниевый
38268227,1,делать команда,основной задача команда – обеспечение качество приложение ClinCheck Веб который
